timestamp,plate,status
2026-04-25 11:56:06,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 11:56:41,UP78CZ4000,VIP
2026-04-25 11:58:10,OD78UV3337,Staff
2026-04-25 11:59:15,UP78HE3137,VIP
2026-04-25 11:59:22,UP78FP7627,UNKNOWN
2026-04-25 11:59:29,OD78HY6050,VIP
2026-04-25 11:59:33,UP78H95531,Resident
2026-04-25 11:59:54,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 12:00:24,UP78CZ4000,VIP
2026-04-25 12:02:12,OD78UV3337,Staff
2026-04-25 12:03:03,UP06CR1765,UNKNOWN
2026-04-25 12:15:21,UP78HE3137,VIP
2026-04-25 12:15:30,UP78FP7627,UNKNOWN
2026-04-25 12:16:03,OD78HY6050,VIP
2026-04-25 12:16:17,UP78H95531,Resident
2026-04-25 12:19:40,UP78HE3137,VIP
2026-04-25 12:19:54,UP78FP7627,UNKNOWN
2026-04-25 12:20:15,OD78HY6050,VIP
2026-04-25 12:20:27,UP78H95531,Resident
2026-04-25 12:20:41,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 12:20:52,UP78CZ4000,VIP
2026-04-25 12:23:19,UP78HE3137,VIP
2026-04-25 12:23:34,UP78FP7627,UNKNOWN
2026-04-25 12:23:52,OD78HY6050,VIP
2026-04-25 12:24:05,UP78H95531,Resident
2026-04-25 12:24:40,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 12:24:51,UP78CZ4000,VIP
2026-04-25 12:28:37,UP78HE3137,VIP
2026-04-25 12:28:46,UP78FP7627,UNKNOWN
2026-04-25 12:30:50,UP78HE3137,VIP
2026-04-25 12:31:01,UP78FP7627,UNKNOWN
2026-04-25 12:31:16,OD78HY6050,VIP
2026-04-25 12:31:20,UP78H95531,Resident
2026-04-25 12:31:34,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 12:31:46,UP78CZ4000,VIP
2026-04-25 12:32:10,UP78HE3137,VIP
2026-04-25 12:32:29,UP78HE3137,VIP
2026-04-25 12:32:48,UP78FP7627,UNKNOWN
2026-04-25 12:32:59,OD78HY6050,VIP
2026-04-25 12:33:03,UP78H95531,Resident
2026-04-25 12:33:35,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 12:34:14,UP78CZ4000,VIP
2026-04-25 12:39:40,OD78UV3337,Staff
2026-04-25 12:40:22,UP06CR1765,UNKNOWN
2026-04-25 12:43:24,UP78HE3137,VIP
2026-04-25 12:43:33,UP78FP7627,UNKNOWN
2026-04-25 12:43:42,OD78HY6050,VIP
2026-04-25 12:43:47,UP78H95531,Resident
2026-04-25 12:44:07,UP08EC9470,BLACKLIST (Suspicious)
2026-04-25 12:44:35,UP78CZ4000,VIP
2026-04-25 12:45:27,OD78UV3337,Staff
2026-04-25 12:45:57,UP06CR1765,UNKNOWN
2026-04-25 12:48:33,UP79I97512,Staff
2026-04-25 12:48:38,OD25263649,BLACKLIST (Stolen)
2026-04-25 12:48:54,UP78ES9080,VIP
2026-04-25 12:48:58,UP08Q72577,Resident
2026-04-25 12:49:31,UP07BQ8099,Staff
2026-04-25 12:49:33,UP7AHZ8845,BLACKLIST (Unauthorized)
